Days,Confirmed,Deaths,Recovered
1,555,17,28
2,654,18,30
3,941,26,36
4,1434,42,39
5,2118,56,52
6,2927,82,61
7,5578,131,107
8,6166,133,126
9,8234,171,143
10,9927,213,222
11,12038,259,284
12,16787,362,472
13,19881,426,623
14,23892,492,852
15,27635,564,1124
16,30794,634,1487
17,34391,719,2011
18,37120,806,2616
19,40150,906,3244
20,42762,1013,3946
21,44802,1113,4683
22,46729,1118,5149
23,60368,1371,6294
24,66885,1523,8057
25,69030,1666,9394
26,71224,1770,10864
27,73258,1868,12582
28,75136,2007,14351
29,75639,2122,16120
30,76197,2247,18176
31,76819,2251,18887
32,78572,2458,22883
33,78958,2469,23391
34,79561,2629,25224
35,80406,2708,27902
36,81388,2770,30381
37,82746,2814,33271
38,84112,2872,36705
39,86011,2941,39776
40,88369,2996,42710
41,90306,3085,45596
42,92840,3160,48222
43,95120,3254,51164
44,97886,3348,53790
45,101801,3460,55859
46,105847,3558,58350
47,109821,3802,60686
48,113590,3988,62486
49,118620,4262,64396
50,125875,4615,66995
51,128352,4720,68316
52,145205,5404,70243
53,156101,5819,72616
54,167454,6440,76026
55,181574,7126,78079
56,197102,7905,80831
57,214821,8733,83303
58,242570,9867,84966
59,272208,11299,87411
60,304507,12973,91682
61,336953,14651,97889
62,378235,16505,98341
63,418045,18625,107890
64,467653,21181,113604
65,529591,23970,121966
66,593291,27198,130659
67,660693,30652,138949
68,720140,33925,148616
69,782389,37582,164100
70,857487,42107,176442
71,932605,46809,191853
72,1013464,52983,208528
73,1095915,58787,223621
74,1197406,64606,243572
75,1272113,69374,256997
76,1345099,74565,273256
77,1426094,81865,296259
78,1511102,88338,324502
79,1595348,95455,348808
80,1691717,102525,370234
81,1771512,108503,395513
